prompt,response,formula,expected_prop_val,after_alignn_prop_val,gen_material_str,gen_material_cif,Alexandria,Alexandria_id,MC3D,MC3D_id,OQMD,OQMD_id,JARVIS,JARVIS_id,MaterialsProject,MaterialsProject_id,Match_Found,Matched_Formula
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Sb2Mo3. The  mbj_bandgap value is 4.001.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Sb2Mo3. The  mbj_bandgap value is 4.001.\n\n### Response:\n9.1 9.1 9.1\n109 109 109\nSb\n0.51 0.85 0.66\nSb\n0.15 0.34 0.49\nSb\n0.34 0.49 0.15\nSb\n0.49 0.15 0.34\nSb\n0.85 0.66 0.51\nSb\n0.66 0.51 0.85\nMo\n0.25 0.47 0.38\nMo\n0.62 0.75 0.53\nMo\n0.75 0.53 0.62\nMo\n0.47 0.38 0.25\nMo\n0.88 0.25 0.47\nMo\n0.25 0.88 0.25\nMo\n0.75 0.12 0.75\nMo\n0.12 0.75 0.75\nMo\n0.53 0.62 0.75\nMo\n0.38 0.25 0.47']",Sb2Mo3,4.001,,"9.1 9.1 9.1
109 109 109
Sb
0.51 0.85 0.66
Sb
0.15 0.34 0.49
Sb
0.34 0.49 0.15
Sb
0.49 0.15 0.34
Sb
0.85 0.66 0.51
Sb
0.66 0.51 0.85
Mo
0.25 0.47 0.38
Mo
0.62 0.75 0.53
Mo
0.75 0.53 0.62
Mo
0.47 0.38 0.25
Mo
0.88 0.25 0.47
Mo
0.25 0.88 0.25
Mo
0.75 0.12 0.75
Mo
0.12 0.75 0.75
Mo
0.53 0.62 0.75
Mo
0.38 0.25 0.47","# generated using pymatgen
data_Sb3Mo5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.10000000
_cell_length_b   9.10000000
_cell_length_c   9.10000000
_cell_angle_alpha   109.00000000
_cell_angle_beta   109.00000000
_cell_angle_gamma   109.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sb3Mo5
_chemical_formula_sum   'Sb6 Mo10'
_cell_volume   590.00287065
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  0.51000000  0.85000000  0.66000000  1
  Sb  Sb1  1  0.15000000  0.34000000  0.49000000  1
  Sb  Sb2  1  0.34000000  0.49000000  0.15000000  1
  Sb  Sb3  1  0.49000000  0.15000000  0.34000000  1
  Sb  Sb4  1  0.85000000  0.66000000  0.51000000  1
  Sb  Sb5  1  0.66000000  0.51000000  0.85000000  1
  Mo  Mo6  1  0.25000000  0.47000000  0.38000000  1
  Mo  Mo7  1  0.62000000  0.75000000  0.53000000  1
  Mo  Mo8  1  0.75000000  0.53000000  0.62000000  1
  Mo  Mo9  1  0.47000000  0.38000000  0.25000000  1
  Mo  Mo10  1  0.88000000  0.25000000  0.47000000  1
  Mo  Mo11  1  0.25000000  0.88000000  0.25000000  1
  Mo  Mo12  1  0.75000000  0.12000000  0.75000000  1
  Mo  Mo13  1  0.12000000  0.75000000  0.75000000  1
  Mo  Mo14  1  0.53000000  0.62000000  0.75000000  1
  Mo  Mo15  1  0.38000000  0.25000000  0.47000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is In3Sb2. The  mbj_bandgap value is 3.461.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is In3Sb2. The  mbj_bandgap value is 3.461.\n\n### Response:\n4.7 4.7 7.8\n90 90 120\nIn\n0.00 0.00 0.50\nIn\n0.33 0.67 0.16\nIn\n0.67 0.33 0.84\nSb\n0.33 0.67 0.67\nSb\n0.67 0.33 0.33']",In3Sb2,3.461,,"4.7 4.7 7.8
90 90 120
In
0.00 0.00 0.50
In
0.33 0.67 0.16
In
0.67 0.33 0.84
Sb
0.33 0.67 0.67
Sb
0.67 0.33 0.33","# generated using pymatgen
data_In3Sb2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.70000000
_cell_length_b   4.70000000
_cell_length_c   7.80000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In3Sb2
_chemical_formula_sum   'In3 Sb2'
_cell_volume   149.21790912
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.00000000  0.00000000  0.50000000  1
  In  In1  1  0.33000000  0.67000000  0.16000000  1
  In  In2  1  0.67000000  0.33000000  0.84000000  1
  Sb  Sb3  1  0.33000000  0.67000000  0.67000000  1
  Sb  Sb4  1  0.67000000  0.33000000  0.33000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Ag3Sb2. The  mbj_bandgap value is 4.459.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Ag3Sb2. The  mbj_bandgap value is 4.459.\n\n### Response:\n8.1 8.1 8.1\n107 107 114\nAg\n0.02 0.32 0.65\nAg\n0.98 0.68 0.35\nAg\n0.32 0.02 0.65\nAg\n0.68 0.98 0.35\nAg\n0.58 0.58 0.66\nAg\n0.42 0.42 0.34\nSb\n0.20 0.20 0.18\nSb\n0.80 0.80 0.82\nSb\n0.55 0.01 0.18\nSb\n0.99 0.45 0.82']",Ag3Sb2,4.459,,"8.1 8.1 8.1
107 107 114
Ag
0.02 0.32 0.65
Ag
0.98 0.68 0.35
Ag
0.32 0.02 0.65
Ag
0.68 0.98 0.35
Ag
0.58 0.58 0.66
Ag
0.42 0.42 0.34
Sb
0.20 0.20 0.18
Sb
0.80 0.80 0.82
Sb
0.55 0.01 0.18
Sb
0.99 0.45 0.82","# generated using pymatgen
data_Ag3Sb2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.10000000
_cell_length_b   8.10000000
_cell_length_c   8.10000000
_cell_angle_alpha   107.00000000
_cell_angle_beta   107.00000000
_cell_angle_gamma   114.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag3Sb2
_chemical_formula_sum   'Ag6 Sb4'
_cell_volume   409.61181528
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.02000000  0.32000000  0.65000000  1
  Ag  Ag1  1  0.98000000  0.68000000  0.35000000  1
  Ag  Ag2  1  0.32000000  0.02000000  0.65000000  1
  Ag  Ag3  1  0.68000000  0.98000000  0.35000000  1
  Ag  Ag4  1  0.58000000  0.58000000  0.66000000  1
  Ag  Ag5  1  0.42000000  0.42000000  0.34000000  1
  Sb  Sb6  1  0.20000000  0.20000000  0.18000000  1
  Sb  Sb7  1  0.80000000  0.80000000  0.82000000  1
  Sb  Sb8  1  0.55000000  0.01000000  0.18000000  1
  Sb  Sb9  1  0.99000000  0.45000000  0.82000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Te2C3. The  mbj_bandgap value is 3.125.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Te2C3. The  mbj_bandgap value is 3.125.\n\n### Response:\n4.0 4.0 11.4\n90 90 120\nTe\n0.33 0.67 0.62\nTe\n0.33 0.67 0.88\nTe\n0.67 0.33 0.12\nTe\n0.67 0.33 0.38\nC\n0.00 0.00 0.00\nC\n0.00 0.00 0.50\nC\n0.33 0.67 0.25\nC\n0.67 0.00 0.50\nC\n0.67 0.00 0.00\nC\n0.33 0.33 0.75']",Te2C3,3.125,,"4.0 4.0 11.4
90 90 120
Te
0.33 0.67 0.62
Te
0.33 0.67 0.88
Te
0.67 0.33 0.12
Te
0.67 0.33 0.38
C
0.00 0.00 0.00
C
0.00 0.00 0.50
C
0.33 0.67 0.25
C
0.67 0.00 0.50
C
0.67 0.00 0.00
C
0.33 0.33 0.75","# generated using pymatgen
data_Te2C3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00000000
_cell_length_b   4.00000000
_cell_length_c   11.40000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Te2C3
_chemical_formula_sum   'Te4 C6'
_cell_volume   157.96303365
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Te  Te0  1  0.33000000  0.67000000  0.62000000  1
  Te  Te1  1  0.33000000  0.67000000  0.88000000  1
  Te  Te2  1  0.67000000  0.33000000  0.12000000  1
  Te  Te3  1  0.67000000  0.33000000  0.38000000  1
  C  C4  1  0.00000000  0.00000000  0.00000000  1
  C  C5  1  0.00000000  0.00000000  0.50000000  1
  C  C6  1  0.33000000  0.67000000  0.25000000  1
  C  C7  1  0.67000000  0.00000000  0.50000000  1
  C  C8  1  0.67000000  0.00000000  0.00000000  1
  C  C9  1  0.33000000  0.33000000  0.75000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Te2N3. The  mbj_bandgap value is 3.428.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Te2N3. The  mbj_bandgap value is 3.428.\n\n### Response:\n3.5 7.2 9.2\n105 101 90\nTe\n0.63 0.21 0.25\nTe\n0.16 0.36 0.31\nTe\n0.84 0.64 0.69\nTe\n0.37 0.79 0.75\nN\n0.95 0.06 0.90\nN\n0.30 0.13 0.59\nN\n0.64 0.52 0.27\nN\n0.36 0.48 0.73\nN\n0.70 0.87 0.41\nN\n0.05 0.94 0.10']",Te2N3,3.428,,"3.5 7.2 9.2
105 101 90
Te
0.63 0.21 0.25
Te
0.16 0.36 0.31
Te
0.84 0.64 0.69
Te
0.37 0.79 0.75
N
0.95 0.06 0.90
N
0.30 0.13 0.59
N
0.64 0.52 0.27
N
0.36 0.48 0.73
N
0.70 0.87 0.41
N
0.05 0.94 0.10","# generated using pymatgen
data_Te2N3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.50000000
_cell_length_b   7.20000000
_cell_length_c   9.20000000
_cell_angle_alpha   105.00000000
_cell_angle_beta   101.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Te2N3
_chemical_formula_sum   'Te4 N6'
_cell_volume   219.52746203
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Te  Te0  1  0.63000000  0.21000000  0.25000000  1
  Te  Te1  1  0.16000000  0.36000000  0.31000000  1
  Te  Te2  1  0.84000000  0.64000000  0.69000000  1
  Te  Te3  1  0.37000000  0.79000000  0.75000000  1
  N  N4  1  0.95000000  0.06000000  0.90000000  1
  N  N5  1  0.30000000  0.13000000  0.59000000  1
  N  N6  1  0.64000000  0.52000000  0.27000000  1
  N  N7  1  0.36000000  0.48000000  0.73000000  1
  N  N8  1  0.70000000  0.87000000  0.41000000  1
  N  N9  1  0.05000000  0.94000000  0.10000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Al3Te2. The  mbj_bandgap value is 2.75.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Al3Te2. The  mbj_bandgap value is 2.75.\n\n### Response:\n4.2 4.2 10.2\n90 90 120\nAl\n0.33 0.67 0.50\nAl\n0.67 0.33 0.74\nAl\n0.67 0.33 0.26\nTe\n0.33 0.67 0.18\nTe\n0.33 0.67 0.82']",Al3Te2,2.75,,"4.2 4.2 10.2
90 90 120
Al
0.33 0.67 0.50
Al
0.67 0.33 0.74
Al
0.67 0.33 0.26
Te
0.33 0.67 0.18
Te
0.33 0.67 0.82","# generated using pymatgen
data_Al3Te2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.20000000
_cell_length_b   4.20000000
_cell_length_c   10.20000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al3Te2
_chemical_formula_sum   'Al3 Te2'
_cell_volume   155.82221885
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.33000000  0.67000000  0.50000000  1
  Al  Al1  1  0.67000000  0.33000000  0.74000000  1
  Al  Al2  1  0.67000000  0.33000000  0.26000000  1
  Te  Te3  1  0.33000000  0.67000000  0.18000000  1
  Te  Te4  1  0.33000000  0.67000000  0.82000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Ga3Te2. The  mbj_bandgap value is 4.125.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Ga3Te2. The  mbj_bandgap value is 4.125.\n\n### Response:\n4.3 4.3 10.5\n90 90 120\nGa\n0.33 0.67 0.50\nGa\n0.00 0.00 0.75\nGa\n0.00 0.00 0.25\nTe\n0.67 0.33 0.13\nTe\n0.67 0.33 0.87']",Ga3Te2,4.125,,"4.3 4.3 10.5
90 90 120
Ga
0.33 0.67 0.50
Ga
0.00 0.00 0.75
Ga
0.00 0.00 0.25
Te
0.67 0.33 0.13
Te
0.67 0.33 0.87","# generated using pymatgen
data_Ga3Te2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   10.50000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ga3Te2
_chemical_formula_sum   'Ga3 Te2'
_cell_volume   168.13450202
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ga  Ga0  1  0.33000000  0.67000000  0.50000000  1
  Ga  Ga1  1  0.00000000  0.00000000  0.75000000  1
  Ga  Ga2  1  0.00000000  0.00000000  0.25000000  1
  Te  Te3  1  0.67000000  0.33000000  0.13000000  1
  Te  Te4  1  0.67000000  0.33000000  0.87000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Cd3Te2. The  mbj_bandgap value is 4.801.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Cd3Te2. The  mbj_bandgap value is 4.801.\n\n### Response:\n4.7 4.7 10.4\n90 90 120\nCd\n0.33 0.67 0.00\nCd\n0.67 0.33 0.50\nCd\n0.00 0.00 0.74\nCd\n0.00 0.00 0.24\nCd\n0.33 0.67 0.50\nCd\n0.67 0.33 1.00\nTe\n0.33 0.67 0.33\nTe\n0.67 0.33 0.83\nTe\n0.00 0.00 0.00\nTe\n0.00 0.00 0.50']",Cd3Te2,4.801,,"4.7 4.7 10.4
90 90 120
Cd
0.33 0.67 0.00
Cd
0.67 0.33 0.50
Cd
0.00 0.00 0.74
Cd
0.00 0.00 0.24
Cd
0.33 0.67 0.50
Cd
0.67 0.33 1.00
Te
0.33 0.67 0.33
Te
0.67 0.33 0.83
Te
0.00 0.00 0.00
Te
0.00 0.00 0.50","# generated using pymatgen
data_Cd3Te2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.70000000
_cell_length_b   4.70000000
_cell_length_c   10.40000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cd3Te2
_chemical_formula_sum   'Cd6 Te4'
_cell_volume   198.95721216
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.33000000  0.67000000  0.00000000  1
  Cd  Cd1  1  0.67000000  0.33000000  0.50000000  1
  Cd  Cd2  1  0.00000000  0.00000000  0.74000000  1
  Cd  Cd3  1  0.00000000  0.00000000  0.24000000  1
  Cd  Cd4  1  0.33000000  0.67000000  0.50000000  1
  Cd  Cd5  1  0.67000000  0.33000000  1.00000000  1
  Te  Te6  1  0.33000000  0.67000000  0.33000000  1
  Te  Te7  1  0.67000000  0.33000000  0.83000000  1
  Te  Te8  1  0.00000000  0.00000000  0.00000000  1
  Te  Te9  1  0.00000000  0.00000000  0.50000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Ge3Te2. The  mbj_bandgap value is 3.588.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Ge3Te2. The  mbj_bandgap value is 3.588.\n\n### Response:\n4.3 4.3 10.5\n90 90 120\nGe\n0.33 0.67 0.92\nGe\n0.00 0.00 0.75\nGe\n0.67 0.33 0.42\nTe\n0.00 0.00 0.13\nTe\n0.00 0.00 0.63']",Ge3Te2,3.588,,"4.3 4.3 10.5
90 90 120
Ge
0.33 0.67 0.92
Ge
0.00 0.00 0.75
Ge
0.67 0.33 0.42
Te
0.00 0.00 0.13
Te
0.00 0.00 0.63","# generated using pymatgen
data_Ge3Te2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   10.50000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ge3Te2
_chemical_formula_sum   'Ge3 Te2'
_cell_volume   168.13450202
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.33000000  0.67000000  0.92000000  1
  Ge  Ge1  1  0.00000000  0.00000000  0.75000000  1
  Ge  Ge2  1  0.67000000  0.33000000  0.42000000  1
  Te  Te3  1  0.00000000  0.00000000  0.13000000  1
  Te  Te4  1  0.00000000  0.00000000  0.63000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is Te2As3. The  mbj_bandgap value is 3.636.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is Te2As3. The  mbj_bandgap value is 3.636.\n\n### Response:\n4.1 10.2 12.7\n90 90 90\nTe\n0.75 0.11 0.93\nTe\n0.25 0.89 0.07\nTe\n0.25 0.61 0.57\nTe\n0.75 0.39 0.43\nTe\n0.25 0.93 0.32\nTe\n0.75 0.07 0.68\nTe\n0.75 0.43 0.18\nTe\n0.25 0.57 0.82\nAs\n0.25 0.27 0.69\nAs\n0.75 0.73 0.31\nAs\n0.25 0.35 0.07\nAs\n0.75 0.65 0.93\nAs\n0.75 0.85 0.43\nAs\n0.25 0.24 0.82\nAs\n0.75 0.76 0.18\nAs\n0.75 0.26 0.32\nAs\n0.25 0.74 0.68\nAs\n0.25 0.15 0.57\nAs\n0.25 0.58 0.19\nAs\n0.75 0.42 0.81']",Te2As3,3.636,,"4.1 10.2 12.7
90 90 90
Te
0.75 0.11 0.93
Te
0.25 0.89 0.07
Te
0.25 0.61 0.57
Te
0.75 0.39 0.43
Te
0.25 0.93 0.32
Te
0.75 0.07 0.68
Te
0.75 0.43 0.18
Te
0.25 0.57 0.82
As
0.25 0.27 0.69
As
0.75 0.73 0.31
As
0.25 0.35 0.07
As
0.75 0.65 0.93
As
0.75 0.85 0.43
As
0.25 0.24 0.82
As
0.75 0.76 0.18
As
0.75 0.26 0.32
As
0.25 0.74 0.68
As
0.25 0.15 0.57
As
0.25 0.58 0.19
As
0.75 0.42 0.81","# generated using pymatgen
data_Te2As3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.10000000
_cell_length_b   10.20000000
_cell_length_c   12.70000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Te2As3
_chemical_formula_sum   'Te8 As12'
_cell_volume   531.11400000
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Te  Te0  1  0.75000000  0.11000000  0.93000000  1
  Te  Te1  1  0.25000000  0.89000000  0.07000000  1
  Te  Te2  1  0.25000000  0.61000000  0.57000000  1
  Te  Te3  1  0.75000000  0.39000000  0.43000000  1
  Te  Te4  1  0.25000000  0.93000000  0.32000000  1
  Te  Te5  1  0.75000000  0.07000000  0.68000000  1
  Te  Te6  1  0.75000000  0.43000000  0.18000000  1
  Te  Te7  1  0.25000000  0.57000000  0.82000000  1
  As  As8  1  0.25000000  0.27000000  0.69000000  1
  As  As9  1  0.75000000  0.73000000  0.31000000  1
  As  As10  1  0.25000000  0.35000000  0.07000000  1
  As  As11  1  0.75000000  0.65000000  0.93000000  1
  As  As12  1  0.75000000  0.85000000  0.43000000  1
  As  As13  1  0.25000000  0.24000000  0.82000000  1
  As  As14  1  0.75000000  0.76000000  0.18000000  1
  As  As15  1  0.75000000  0.26000000  0.32000000  1
  As  As16  1  0.25000000  0.74000000  0.68000000  1
  As  As17  1  0.25000000  0.15000000  0.57000000  1
  As  As18  1  0.25000000  0.58000000  0.19000000  1
  As  As19  1  0.75000000  0.42000000  0.81000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is B3Te2. The  mbj_bandgap value is 3.756.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is B3Te2. The  mbj_bandgap value is 3.756.\n\n### Response:\n5.6 5.6 8.1\n90 90 109\nB\n0.83 0.17 0.00\nB\n0.17 0.83 0.00\nB\n0.17 0.83 0.50\nB\n0.83 0.17 0.50\nB\n0.50 -0.00 0.75\nB\n-0.00 0.50 0.25\nTe\n0.50 -0.00 0.38\nTe\n-0.00 0.50 0.62\nTe\n0.50 -0.00 0.12\nTe\n-0.00 0.50 0.88']",B3Te2,3.756,,"5.6 5.6 8.1
90 90 109
B
0.83 0.17 0.00
B
0.17 0.83 0.00
B
0.17 0.83 0.50
B
0.83 0.17 0.50
B
0.50 -0.00 0.75
B
-0.00 0.50 0.25
Te
0.50 -0.00 0.38
Te
-0.00 0.50 0.62
Te
0.50 -0.00 0.12
Te
-0.00 0.50 0.88","# generated using pymatgen
data_B3Te2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.60000000
_cell_length_b   5.60000000
_cell_length_c   8.10000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   109.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   B3Te2
_chemical_formula_sum   'B6 Te4'
_cell_volume   240.17684650
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  B  B0  1  0.83000000  0.17000000  0.00000000  1
  B  B1  1  0.17000000  0.83000000  0.00000000  1
  B  B2  1  0.17000000  0.83000000  0.50000000  1
  B  B3  1  0.83000000  0.17000000  0.50000000  1
  B  B4  1  0.50000000  -0.00000000  0.75000000  1
  B  B5  1  -0.00000000  0.50000000  0.25000000  1
  Te  Te6  1  0.50000000  -0.00000000  0.38000000  1
  Te  Te7  1  -0.00000000  0.50000000  0.62000000  1
  Te  Te8  1  0.50000000  -0.00000000  0.12000000  1
  Te  Te9  1  -0.00000000  0.50000000  0.88000000  1
",,,,,,,,,,,,
